SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,TAXON_ORDER,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS
Struthio camelus,Common Ostrich,ostric2,2,STCA,,Struthioniformes,Ostriches,Struthionidae,
Struthio molybdophanes,Somali Ostrich,ostric3,7,STMO,,Struthioniformes,Ostriches,Struthionidae,
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,8,STMO STCA,,Struthioniformes,Ostriches,Struthionidae,
Casuarius casuarius,Southern Cassowary,soucas1,10,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,
Casuarius bennetti,Dwarf Cassowary,dwacas1,11,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,
Casuarius unappendiculatus,Northern Cassowary,norcas1,14,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,
Dromaius novaehollandiae,Emu,emu1,15,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,
Apteryx australis,Southern Brown Kiwi,sobkiw1,21,APAU,,Apterygiformes,Kiwis,Apterygidae,
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,22,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,23,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,24,APRO,,Apterygiformes,Kiwis,Apterygidae,
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,25,APMA,,Apterygiformes,Kiwis,Apterygidae,
Apteryx australis x mantelli,Southern Brown x North Island Brown Kiwi (hybrid),x01217,26,APAU APMA,,Apterygiformes,Kiwis,Apterygidae,
Apteryx owenii,Little Spotted Kiwi,liskiw1,27,APOW,,Apterygiformes,Kiwis,Apterygidae,
Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059,28,APOW APRO,,Apterygiformes,Kiwis,Apterygidae,
Apteryx maxima,Great Spotted Kiwi,grskiw1,29,APMA,,Apterygiformes,Kiwis,Apterygidae,
Apteryx sp.,kiwi sp.,kiwi1,30,,,Apterygiformes,Kiwis,Apterygidae,
Rhea americana,Greater Rhea,grerhe1,32,RHAM,,Rheiformes,Rheas,Rheidae,
Rhea pennata,Lesser Rhea,lesrhe2,38,RHPE,,Rheiformes,Rheas,Rheidae,
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,39,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,42,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2
Tinamotis pentlandii,Puna Tinamou,puntin1,44,TIPE,,Tinamiformes,Tinamous,Tinamidae,
Tinamotis ingoufi,Patagonian Tinamou,pattin1,45,TIIN,,Tinamiformes,Tinamous,Tinamidae,
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,46,EUFO,,Tinamiformes,Tinamous,Tinamidae,
Eudromia elegans,Elegant Crested-Tinamou,elctin1,49,EUEL,,Tinamiformes,Tinamous,Tinamidae,
Eudromia elegans [intermedia Group],Elegant Crested-Tinamou (Northern),elecrt11,50,EUEL,,Tinamiformes,Tinamous,Tinamidae,elctin1
Eudromia elegans [elegans Group],Elegant Crested-Tinamou (Southern),elecrt12,54,EUEL,,Tinamiformes,Tinamous,Tinamidae,elctin1
Taoniscus nanus,Dwarf Tinamou,dwatin1,62,TANA,,Tinamiformes,Tinamous,Tinamidae,
Nothura boraquira,White-bellied Nothura,whbnot1,63,NOBO,,Tinamiformes,Tinamous,Tinamidae,
Nothura minor,Lesser Nothura,lesnot1,64,NOMI,,Tinamiformes,Tinamous,Tinamidae,
Nothura darwinii,Darwin's Nothura,darnot1,65,NODA,,Tinamiformes,Tinamous,Tinamidae,
Nothura maculosa,Spotted Nothura,sponot1,71,NOMA,,Tinamiformes,Tinamous,Tinamidae,
